profile,value_axis,fear_axis_weight,nt_mode,full_excess_irr,full_cost_vs_plain,full_avg_mult,first_half_excess_irr,first_half_cost_vs_plain,first_half_avg_mult,second_half_excess_irr,second_half_cost_vs_plain,second_half_avg_mult,robust
heavy_breadth,dd30_erp70,0.3,observe,0.38,-3.56,1.355,0.7,-4.23,1.377,0.61,-1.62,1.332,0.61
heavy_breadth,dd30_erp70,0.3,confirm,0.38,-3.51,1.357,0.7,-4.22,1.378,0.61,-1.61,1.337,0.61
heavy_breadth,dd30_erp70,0.3,parallel,0.26,-2.54,1.191,0.46,-2.78,1.21,0.46,-1.33,1.172,0.46
heavy_breadth,dd30_erp70,0.4,observe,0.32,-2.99,1.29,0.58,-3.39,1.312,0.55,-1.52,1.269,0.55
heavy_breadth,dd30_erp70,0.4,confirm,0.32,-2.95,1.293,0.58,-3.37,1.312,0.55,-1.51,1.274,0.55
heavy_breadth,dd30_erp70,0.4,parallel,0.23,-2.3,1.157,0.41,-2.31,1.182,0.37,-1.13,1.131,0.37
heavy_breadth,dd30_erp70,0.5,observe,0.28,-2.6,1.251,0.5,-2.78,1.274,0.49,-1.37,1.228,0.49
heavy_breadth,dd30_erp70,0.5,confirm,0.28,-2.55,1.255,0.5,-2.76,1.275,0.5,-1.38,1.235,0.5
heavy_breadth,dd30_erp70,0.5,parallel,0.19,-2.04,1.128,0.37,-1.81,1.16,0.28,-0.9,1.096,0.28
heavy_breadth,dd30_erp70,0.6,observe,0.22,-2.12,1.21,0.41,-2.06,1.235,0.4,-1.15,1.185,0.4
heavy_breadth,dd30_erp70,0.6,confirm,0.22,-2.06,1.214,0.41,-2.05,1.236,0.42,-1.17,1.193,0.41
heavy_breadth,dd30_erp70,0.6,parallel,0.15,-1.71,1.107,0.31,-1.41,1.138,0.22,-0.74,1.076,0.22
heavy_breadth,erp_only,0.3,observe,0.44,-3.66,1.405,0.78,-5.15,1.396,0.73,-1.67,1.414,0.73
heavy_breadth,erp_only,0.3,confirm,0.44,-3.63,1.408,0.77,-5.14,1.397,0.72,-1.65,1.418,0.72
heavy_breadth,erp_only,0.3,parallel,0.33,-2.97,1.222,0.56,-3.7,1.231,0.55,-1.46,1.213,0.55
heavy_breadth,erp_only,0.4,observe,0.4,-3.54,1.342,0.72,-4.56,1.349,0.67,-1.65,1.334,0.67
heavy_breadth,erp_only,0.4,confirm,0.4,-3.51,1.344,0.72,-4.55,1.35,0.66,-1.64,1.338,0.66
heavy_breadth,erp_only,0.4,parallel,0.27,-2.54,1.179,0.48,-2.99,1.191,0.47,-1.31,1.167,0.47
heavy_breadth,erp_only,0.5,observe,0.33,-2.96,1.27,0.6,-3.57,1.282,0.57,-1.53,1.259,0.57
heavy_breadth,erp_only,0.5,confirm,0.33,-2.91,1.274,0.59,-3.56,1.283,0.57,-1.54,1.265,0.57
heavy_breadth,erp_only,0.5,parallel,0.22,-2.14,1.144,0.41,-2.31,1.161,0.37,-1.09,1.127,0.37
heavy_breadth,erp_only,0.6,observe,0.28,-2.49,1.228,0.5,-2.83,1.243,0.49,-1.33,1.213,0.49
heavy_breadth,erp_only,0.6,confirm,0.28,-2.45,1.231,0.5,-2.82,1.244,0.5,-1.35,1.219,0.5
heavy_breadth,erp_only,0.6,parallel,0.18,-1.92,1.114,0.36,-1.85,1.139,0.27,-0.83,1.088,0.27
heavy_rsi,dd_only,0.3,observe,0.14,-1.94,1.307,0.26,-1.01,1.372,0.21,-0.81,1.242,0.21
heavy_rsi,dd_only,0.3,confirm,0.13,-1.87,1.312,0.25,-0.97,1.374,0.22,-0.84,1.251,0.22
heavy_rsi,dd_only,0.3,parallel,0.1,-1.68,1.157,0.16,-0.75,1.213,0.16,-0.63,1.101,0.16
heavy_rsi,dd_only,0.4,observe,0.13,-1.73,1.268,0.25,-0.91,1.323,0.2,-0.78,1.214,0.2
heavy_rsi,dd_only,0.4,confirm,0.12,-1.66,1.274,0.24,-0.87,1.325,0.22,-0.81,1.223,0.22
heavy_rsi,dd_only,0.4,parallel,0.09,-1.5,1.139,0.15,-0.58,1.19,0.16,-0.61,1.088,0.15
heavy_rsi,dd_only,0.5,observe,0.12,-1.59,1.235,0.23,-0.77,1.286,0.2,-0.74,1.184,0.2
heavy_rsi,dd_only,0.5,confirm,0.12,-1.52,1.241,0.22,-0.72,1.289,0.21,-0.77,1.193,0.21
heavy_rsi,dd_only,0.5,parallel,0.08,-1.35,1.115,0.14,-0.52,1.159,0.15,-0.55,1.07,0.14
heavy_rsi,dd_only,0.6,observe,0.11,-1.56,1.204,0.22,-0.69,1.255,0.2,-0.73,1.153,0.2
heavy_rsi,dd_only,0.6,confirm,0.11,-1.48,1.21,0.2,-0.63,1.258,0.22,-0.77,1.162,0.2
heavy_rsi,dd_only,0.6,parallel,0.08,-1.2,1.094,0.13,-0.56,1.13,0.14,-0.51,1.058,0.13
heavy_rsi,dd70_erp30,0.3,observe,0.24,-2.58,1.32,0.43,-2.34,1.362,0.41,-1.27,1.277,0.41
heavy_rsi,dd70_erp30,0.3,confirm,0.23,-2.51,1.325,0.41,-2.29,1.365,0.42,-1.28,1.285,0.41
heavy_rsi,dd70_erp30,0.3,parallel,0.18,-2.17,1.161,0.32,-1.69,1.205,0.28,-0.95,1.117,0.28
heavy_rsi,dd70_erp30,0.4,observe,0.22,-2.39,1.277,0.38,-2.08,1.319,0.38,-1.18,1.236,0.38
heavy_rsi,dd70_erp30,0.4,confirm,0.21,-2.32,1.283,0.37,-2.03,1.322,0.39,-1.2,1.245,0.37
heavy_rsi,dd70_erp30,0.4,parallel,0.16,-1.93,1.138,0.29,-1.43,1.178,0.26,-0.84,1.097,0.26
heavy_rsi,dd70_erp30,0.5,observe,0.19,-2.11,1.241,0.34,-1.73,1.28,0.35,-1.1,1.202,0.34
heavy_rsi,dd70_erp30,0.5,confirm,0.19,-2.04,1.247,0.33,-1.67,1.283,0.36,-1.12,1.211,0.33
heavy_rsi,dd70_erp30,0.5,parallel,0.14,-1.6,1.115,0.25,-1.21,1.146,0.23,-0.76,1.084,0.23
heavy_rsi,dd70_erp30,0.6,observe,0.17,-1.8,1.208,0.31,-1.33,1.243,0.32,-1.0,1.172,0.31
heavy_rsi,dd70_erp30,0.6,confirm,0.17,-1.72,1.214,0.3,-1.27,1.246,0.33,-1.02,1.181,0.3
heavy_rsi,dd70_erp30,0.6,parallel,0.11,-1.35,1.094,0.2,-0.97,1.122,0.19,-0.64,1.067,0.19
heavy_rsi,dd50_erp50,0.3,observe,0.31,-2.93,1.333,0.54,-3.24,1.359,0.53,-1.46,1.308,0.53
heavy_rsi,dd50_erp50,0.3,confirm,0.3,-2.88,1.338,0.53,-3.21,1.361,0.53,-1.45,1.315,0.53
heavy_rsi,dd50_erp50,0.3,parallel,0.23,-2.42,1.178,0.41,-2.39,1.206,0.4,-1.21,1.149,0.4
heavy_rsi,dd50_erp50,0.4,observe,0.28,-2.67,1.287,0.49,-2.87,1.312,0.48,-1.38,1.263,0.48
heavy_rsi,dd50_erp50,0.4,confirm,0.27,-2.61,1.292,0.47,-2.83,1.314,0.49,-1.39,1.271,0.47
heavy_rsi,dd50_erp50,0.4,parallel,0.19,-2.06,1.141,0.36,-1.92,1.17,0.32,-0.98,1.113,0.32
heavy_rsi,dd50_erp50,0.5,observe,0.24,-2.37,1.247,0.43,-2.36,1.274,0.43,-1.26,1.22,0.43
heavy_rsi,dd50_erp50,0.5,confirm,0.24,-2.3,1.252,0.41,-2.32,1.277,0.44,-1.28,1.228,0.41
heavy_rsi,dd50_erp50,0.5,parallel,0.16,-1.79,1.118,0.31,-1.61,1.144,0.27,-0.86,1.092,0.27
heavy_rsi,dd50_erp50,0.6,observe,0.2,-2.0,1.212,0.37,-1.86,1.238,0.37,-1.09,1.186,0.37
heavy_rsi,dd50_erp50,0.6,confirm,0.2,-1.93,1.217,0.36,-1.82,1.241,0.38,-1.12,1.194,0.36
heavy_rsi,dd50_erp50,0.6,parallel,0.13,-1.46,1.096,0.23,-1.24,1.118,0.23,-0.73,1.073,0.23
heavy_rsi,dd30_erp70,0.3,observe,0.38,-3.46,1.36,0.68,-4.26,1.376,0.63,-1.59,1.345,0.63
heavy_rsi,dd30_erp70,0.3,confirm,0.38,-3.41,1.363,0.68,-4.25,1.377,0.62,-1.57,1.35,0.62
heavy_rsi,dd30_erp70,0.3,parallel,0.27,-2.59,1.193,0.47,-2.94,1.209,0.47,-1.34,1.176,0.47
heavy_rsi,dd30_erp70,0.4,observe,0.33,-2.96,1.303,0.58,-3.59,1.314,0.57,-1.52,1.292,0.57
heavy_rsi,dd30_erp70,0.4,confirm,0.33,-2.91,1.307,0.58,-3.57,1.316,0.58,-1.53,1.299,0.58
heavy_rsi,dd30_erp70,0.4,parallel,0.23,-2.29,1.155,0.42,-2.48,1.173,0.39,-1.17,1.136,0.39
heavy_rsi,dd30_erp70,0.5,observe,0.29,-2.64,1.259,0.52,-3.07,1.273,0.5,-1.38,1.245,0.5
heavy_rsi,dd30_erp70,0.5,confirm,0.29,-2.59,1.263,0.51,-3.05,1.275,0.51,-1.4,1.252,0.51
heavy_rsi,dd30_erp70,0.5,parallel,0.19,-1.94,1.123,0.35,-2.02,1.141,0.32,-0.97,1.104,0.32
heavy_rsi,dd30_erp70,0.6,observe,0.24,-2.17,1.218,0.44,-2.35,1.234,0.42,-1.23,1.203,0.42
heavy_rsi,dd30_erp70,0.6,confirm,0.24,-2.11,1.224,0.43,-2.32,1.236,0.44,-1.26,1.211,0.43
heavy_rsi,dd30_erp70,0.6,parallel,0.15,-1.6,1.101,0.28,-1.53,1.12,0.26,-0.81,1.083,0.26
heavy_rsi,erp_only,0.3,observe,0.44,-3.54,1.409,0.78,-5.22,1.389,0.74,-1.69,1.429,0.74
heavy_rsi,erp_only,0.3,confirm,0.44,-3.51,1.411,0.78,-5.21,1.39,0.73,-1.68,1.433,0.73
heavy_rsi,erp_only,0.3,parallel,0.33,-2.94,1.225,0.57,-3.87,1.226,0.56,-1.46,1.224,0.56
heavy_rsi,erp_only,0.4,observe,0.41,-3.42,1.346,0.72,-4.67,1.341,0.68,-1.64,1.35,0.68
heavy_rsi,erp_only,0.4,confirm,0.41,-3.38,1.348,0.72,-4.66,1.343,0.67,-1.62,1.354,0.67
heavy_rsi,erp_only,0.4,parallel,0.29,-2.58,1.18,0.49,-3.27,1.184,0.49,-1.33,1.177,0.49
heavy_rsi,erp_only,0.5,observe,0.35,-2.97,1.288,0.61,-3.87,1.288,0.6,-1.54,1.287,0.6
heavy_rsi,erp_only,0.5,confirm,0.35,-2.92,1.291,0.61,-3.85,1.289,0.61,-1.54,1.293,0.61
heavy_rsi,erp_only,0.5,parallel,0.23,-2.07,1.138,0.4,-2.53,1.144,0.39,-1.11,1.133,0.39
heavy_rsi,erp_only,0.6,observe,0.29,-2.5,1.236,0.52,-3.12,1.241,0.5,-1.36,1.232,0.5
heavy_rsi,erp_only,0.6,confirm,0.29,-2.45,1.241,0.52,-3.1,1.242,0.51,-1.38,1.239,0.51
heavy_rsi,erp_only,0.6,parallel,0.18,-1.74,1.11,0.33,-1.97,1.119,0.31,-0.92,1.1,0.31
heavy_boll_z,dd_only,0.3,observe,0.13,-1.91,1.303,0.25,-1.0,1.366,0.21,-0.81,1.24,0.21
heavy_boll_z,dd_only,0.3,confirm,0.13,-1.84,1.308,0.24,-0.97,1.368,0.22,-0.84,1.249,0.22
heavy_boll_z,dd_only,0.3,parallel,0.1,-1.65,1.158,0.16,-0.71,1.213,0.18,-0.66,1.103,0.16
heavy_boll_z,dd_only,0.4,observe,0.12,-1.63,1.266,0.24,-0.85,1.318,0.2,-0.76,1.215,0.2
heavy_boll_z,dd_only,0.4,confirm,0.12,-1.55,1.272,0.23,-0.81,1.32,0.21,-0.79,1.224,0.21
heavy_boll_z,dd_only,0.4,parallel,0.09,-1.41,1.136,0.14,-0.54,1.184,0.15,-0.58,1.088,0.14
heavy_boll_z,dd_only,0.5,observe,0.11,-1.54,1.234,0.22,-0.71,1.284,0.19,-0.73,1.184,0.19
heavy_boll_z,dd_only,0.5,confirm,0.11,-1.46,1.24,0.21,-0.66,1.287,0.21,-0.76,1.193,0.21
heavy_boll_z,dd_only,0.5,parallel,0.08,-1.28,1.114,0.13,-0.53,1.155,0.14,-0.53,1.073,0.13
heavy_boll_z,dd_only,0.6,observe,0.11,-1.44,1.204,0.21,-0.64,1.25,0.2,-0.71,1.158,0.2
heavy_boll_z,dd_only,0.6,confirm,0.11,-1.36,1.21,0.19,-0.58,1.253,0.21,-0.75,1.168,0.19
heavy_boll_z,dd_only,0.6,parallel,0.08,-1.15,1.096,0.12,-0.52,1.131,0.13,-0.49,1.061,0.12
heavy_boll_z,dd70_erp30,0.3,observe,0.24,-2.55,1.319,0.42,-2.33,1.36,0.4,-1.26,1.277,0.4
heavy_boll_z,dd70_erp30,0.3,confirm,0.23,-2.48,1.324,0.4,-2.27,1.364,0.41,-1.26,1.284,0.4
heavy_boll_z,dd70_erp30,0.3,parallel,0.17,-2.06,1.162,0.31,-1.62,1.203,0.28,-0.92,1.121,0.28
heavy_boll_z,dd70_erp30,0.4,observe,0.21,-2.32,1.277,0.38,-2.06,1.316,0.37,-1.13,1.238,0.37
heavy_boll_z,dd70_erp30,0.4,confirm,0.21,-2.24,1.283,0.36,-2.0,1.319,0.38,-1.15,1.246,0.36
heavy_boll_z,dd70_erp30,0.4,parallel,0.15,-1.83,1.138,0.28,-1.39,1.175,0.25,-0.81,1.101,0.25
heavy_boll_z,dd70_erp30,0.5,observe,0.19,-1.99,1.24,0.33,-1.64,1.275,0.35,-1.06,1.205,0.33
heavy_boll_z,dd70_erp30,0.5,confirm,0.18,-1.91,1.246,0.31,-1.58,1.279,0.36,-1.09,1.214,0.31
heavy_boll_z,dd70_erp30,0.5,parallel,0.13,-1.54,1.114,0.23,-1.15,1.144,0.22,-0.74,1.084,0.22
heavy_boll_z,dd70_erp30,0.6,observe,0.16,-1.66,1.206,0.31,-1.29,1.236,0.31,-0.94,1.175,0.31
heavy_boll_z,dd70_erp30,0.6,confirm,0.16,-1.59,1.212,0.29,-1.23,1.24,0.32,-0.97,1.184,0.29
heavy_boll_z,dd70_erp30,0.6,parallel,0.11,-1.29,1.094,0.18,-0.93,1.121,0.18,-0.59,1.068,0.18
heavy_boll_z,dd50_erp50,0.3,observe,0.31,-2.93,1.334,0.55,-3.26,1.359,0.52,-1.43,1.309,0.52
heavy_boll_z,dd50_erp50,0.3,confirm,0.3,-2.87,1.339,0.54,-3.22,1.361,0.52,-1.43,1.316,0.52
heavy_boll_z,dd50_erp50,0.3,parallel,0.23,-2.36,1.174,0.4,-2.35,1.201,0.39,-1.19,1.147,0.39
heavy_boll_z,dd50_erp50,0.4,observe,0.27,-2.6,1.288,0.48,-2.78,1.311,0.48,-1.36,1.264,0.48
heavy_boll_z,dd50_erp50,0.4,confirm,0.27,-2.53,1.293,0.47,-2.74,1.314,0.48,-1.37,1.272,0.47
heavy_boll_z,dd50_erp50,0.4,parallel,0.19,-1.99,1.141,0.34,-1.87,1.168,0.31,-0.97,1.115,0.31
heavy_boll_z,dd50_erp50,0.5,observe,0.23,-2.25,1.246,0.41,-2.29,1.269,0.42,-1.21,1.222,0.41
heavy_boll_z,dd50_erp50,0.5,confirm,0.23,-2.18,1.251,0.4,-2.24,1.272,0.42,-1.23,1.23,0.4
heavy_boll_z,dd50_erp50,0.5,parallel,0.16,-1.68,1.118,0.29,-1.57,1.14,0.27,-0.84,1.096,0.27
heavy_boll_z,dd50_erp50,0.6,observe,0.2,-1.86,1.21,0.36,-1.78,1.231,0.36,-1.06,1.189,0.36
heavy_boll_z,dd50_erp50,0.6,confirm,0.19,-1.8,1.215,0.34,-1.74,1.234,0.37,-1.09,1.197,0.34
heavy_boll_z,dd50_erp50,0.6,parallel,0.13,-1.39,1.098,0.22,-1.21,1.118,0.23,-0.71,1.077,0.22
heavy_boll_z,dd30_erp70,0.3,observe,0.38,-3.42,1.361,0.68,-4.23,1.376,0.62,-1.57,1.346,0.62
heavy_boll_z,dd30_erp70,0.3,confirm,0.38,-3.38,1.364,0.67,-4.22,1.377,0.61,-1.56,1.352,0.61
heavy_boll_z,dd30_erp70,0.3,parallel,0.27,-2.58,1.193,0.48,-2.97,1.208,0.47,-1.33,1.179,0.47
heavy_boll_z,dd30_erp70,0.4,observe,0.33,-2.93,1.305,0.59,-3.6,1.315,0.56,-1.48,1.295,0.56
heavy_boll_z,dd30_erp70,0.4,confirm,0.33,-2.88,1.309,0.59,-3.59,1.316,0.56,-1.49,1.302,0.56
heavy_boll_z,dd30_erp70,0.4,parallel,0.23,-2.19,1.154,0.41,-2.43,1.169,0.39,-1.13,1.139,0.39
heavy_boll_z,dd30_erp70,0.5,observe,0.28,-2.47,1.259,0.5,-2.95,1.268,0.49,-1.36,1.249,0.49
heavy_boll_z,dd30_erp70,0.5,confirm,0.28,-2.42,1.263,0.49,-2.93,1.269,0.5,-1.38,1.257,0.49
heavy_boll_z,dd30_erp70,0.5,parallel,0.19,-1.83,1.121,0.34,-1.97,1.136,0.31,-0.93,1.106,0.31
heavy_boll_z,dd30_erp70,0.6,observe,0.23,-2.08,1.219,0.42,-2.29,1.232,0.41,-1.18,1.205,0.41
heavy_boll_z,dd30_erp70,0.6,confirm,0.23,-2.02,1.224,0.41,-2.25,1.234,0.43,-1.21,1.213,0.41
heavy_boll_z,dd30_erp70,0.6,parallel,0.15,-1.52,1.102,0.26,-1.47,1.12,0.26,-0.78,1.085,0.26
heavy_boll_z,erp_only,0.3,observe,0.44,-3.49,1.41,0.77,-5.17,1.389,0.73,-1.67,1.431,0.73
heavy_boll_z,erp_only,0.3,confirm,0.44,-3.45,1.412,0.77,-5.16,1.39,0.73,-1.65,1.435,0.73
heavy_boll_z,erp_only,0.3,parallel,0.33,-2.89,1.224,0.56,-3.86,1.223,0.56,-1.44,1.226,0.56
heavy_boll_z,erp_only,0.4,observe,0.4,-3.33,1.345,0.7,-4.58,1.339,0.68,-1.63,1.351,0.68
heavy_boll_z,erp_only,0.4,confirm,0.4,-3.29,1.348,0.7,-4.57,1.34,0.68,-1.63,1.356,0.68
heavy_boll_z,erp_only,0.4,parallel,0.28,-2.55,1.18,0.48,-3.26,1.184,0.49,-1.31,1.177,0.48
heavy_boll_z,erp_only,0.5,observe,0.35,-2.99,1.289,0.62,-3.9,1.291,0.59,-1.52,1.287,0.59
heavy_boll_z,erp_only,0.5,confirm,0.35,-2.95,1.292,0.61,-3.89,1.291,0.59,-1.52,1.293,0.59
heavy_boll_z,erp_only,0.5,parallel,0.22,-2.01,1.139,0.39,-2.48,1.142,0.39,-1.1,1.135,0.39
heavy_boll_z,erp_only,0.6,observe,0.27,-2.28,1.235,0.49,-2.9,1.235,0.49,-1.31,1.235,0.49
heavy_boll_z,erp_only,0.6,confirm,0.27,-2.23,1.239,0.48,-2.89,1.237,0.5,-1.33,1.242,0.48
heavy_boll_z,erp_only,0.6,parallel,0.18,-1.69,1.11,0.32,-1.92,1.119,0.31,-0.91,1.101,0.31
heavy_turnover,dd_only,0.3,observe,0.13,-1.81,1.302,0.27,-0.83,1.367,0.2,-0.81,1.238,0.2
heavy_turnover,dd_only,0.3,confirm,0.13,-1.75,1.308,0.25,-0.78,1.37,0.22,-0.84,1.246,0.22
heavy_turnover,dd_only,0.3,parallel,0.11,-1.79,1.155,0.17,-0.78,1.217,0.16,-0.6,1.094,0.16
heavy_turnover,dd_only,0.4,observe,0.13,-1.82,1.261,0.25,-0.81,1.325,0.2,-0.78,1.197,0.2
heavy_turnover,dd_only,0.4,confirm,0.12,-1.74,1.267,0.24,-0.75,1.328,0.22,-0.82,1.206,0.22
heavy_turnover,dd_only,0.4,parallel,0.09,-1.51,1.131,0.14,-0.53,1.185,0.15,-0.55,1.076,0.14
heavy_turnover,dd_only,0.5,observe,0.12,-1.75,1.219,0.22,-0.69,1.281,0.21,-0.77,1.156,0.21
heavy_turnover,dd_only,0.5,confirm,0.12,-1.67,1.225,0.2,-0.63,1.284,0.23,-0.81,1.166,0.2
heavy_turnover,dd_only,0.5,parallel,0.07,-1.23,1.108,0.11,-0.26,1.156,0.14,-0.49,1.06,0.11
heavy_turnover,dd_only,0.6,observe,0.12,-1.73,1.188,0.21,-0.63,1.25,0.21,-0.75,1.125,0.21
heavy_turnover,dd_only,0.6,confirm,0.11,-1.66,1.193,0.19,-0.58,1.253,0.23,-0.8,1.134,0.19
heavy_turnover,dd_only,0.6,parallel,0.06,-1.1,1.088,0.11,-0.26,1.131,0.11,-0.39,1.046,0.11
heavy_turnover,dd70_erp30,0.3,observe,0.23,-2.44,1.312,0.41,-2.1,1.356,0.41,-1.27,1.269,0.41
heavy_turnover,dd70_erp30,0.3,confirm,0.22,-2.37,1.318,0.39,-2.04,1.358,0.41,-1.28,1.277,0.39
heavy_turnover,dd70_erp30,0.3,parallel,0.18,-2.23,1.16,0.31,-1.65,1.209,0.28,-0.93,1.111,0.28
heavy_turnover,dd70_erp30,0.4,observe,0.22,-2.36,1.265,0.38,-1.94,1.309,0.4,-1.23,1.222,0.38
heavy_turnover,dd70_erp30,0.4,confirm,0.21,-2.29,1.271,0.37,-1.89,1.312,0.41,-1.25,1.23,0.37
heavy_turnover,dd70_erp30,0.4,parallel,0.15,-1.98,1.132,0.29,-1.37,1.179,0.24,-0.79,1.086,0.24
heavy_turnover,dd70_erp30,0.5,observe,0.2,-2.13,1.228,0.33,-1.62,1.269,0.38,-1.18,1.186,0.33
heavy_turnover,dd70_erp30,0.5,confirm,0.19,-2.07,1.233,0.32,-1.59,1.271,0.4,-1.22,1.194,0.32
heavy_turnover,dd70_erp30,0.5,parallel,0.13,-1.66,1.11,0.24,-1.04,1.151,0.2,-0.68,1.068,0.2
heavy_turnover,dd70_erp30,0.6,observe,0.17,-1.94,1.189,0.31,-1.31,1.233,0.32,-1.01,1.145,0.31
heavy_turnover,dd70_erp30,0.6,confirm,0.17,-1.88,1.194,0.3,-1.29,1.234,0.34,-1.06,1.154,0.3
heavy_turnover,dd70_erp30,0.6,parallel,0.09,-1.29,1.086,0.17,-0.69,1.121,0.15,-0.52,1.05,0.15
heavy_turnover,dd50_erp50,0.3,observe,0.3,-2.91,1.326,0.53,-3.08,1.356,0.53,-1.49,1.297,0.53
heavy_turnover,dd50_erp50,0.3,confirm,0.3,-2.85,1.33,0.52,-3.05,1.357,0.53,-1.48,1.304,0.52
heavy_turnover,dd50_erp50,0.3,parallel,0.23,-2.4,1.175,0.41,-2.3,1.206,0.39,-1.19,1.145,0.39
heavy_turnover,dd50_erp50,0.4,observe,0.26,-2.6,1.273,0.46,-2.59,1.302,0.48,-1.39,1.243,0.46
heavy_turnover,dd50_erp50,0.4,confirm,0.26,-2.54,1.277,0.45,-2.58,1.303,0.49,-1.41,1.251,0.45
heavy_turnover,dd50_erp50,0.4,parallel,0.19,-2.18,1.139,0.36,-1.88,1.176,0.3,-0.95,1.101,0.3
heavy_turnover,dd50_erp50,0.5,observe,0.24,-2.33,1.233,0.42,-2.25,1.261,0.44,-1.29,1.205,0.42
heavy_turnover,dd50_erp50,0.5,confirm,0.24,-2.28,1.237,0.42,-2.24,1.262,0.45,-1.32,1.213,0.42
heavy_turnover,dd50_erp50,0.5,parallel,0.16,-1.86,1.112,0.31,-1.5,1.147,0.24,-0.78,1.077,0.24
heavy_turnover,dd50_erp50,0.6,observe,0.2,-2.02,1.196,0.38,-1.77,1.226,0.38,-1.13,1.166,0.38
heavy_turnover,dd50_erp50,0.6,confirm,0.21,-1.97,1.2,0.37,-1.76,1.227,0.4,-1.17,1.174,0.37
heavy_turnover,dd50_erp50,0.6,parallel,0.12,-1.43,1.086,0.22,-1.03,1.116,0.19,-0.6,1.055,0.19
heavy_turnover,dd30_erp70,0.3,observe,0.38,-3.5,1.356,0.67,-4.12,1.379,0.63,-1.64,1.333,0.63
heavy_turnover,dd30_erp70,0.3,confirm,0.38,-3.46,1.359,0.67,-4.11,1.38,0.63,-1.63,1.338,0.63
heavy_turnover,dd30_erp70,0.3,parallel,0.27,-2.57,1.189,0.46,-2.84,1.208,0.47,-1.35,1.171,0.46
heavy_turnover,dd30_erp70,0.4,observe,0.31,-2.84,1.292,0.54,-3.26,1.308,0.57,-1.54,1.276,0.54
heavy_turnover,dd30_erp70,0.4,confirm,0.31,-2.79,1.295,0.54,-3.25,1.309,0.57,-1.55,1.282,0.54
heavy_turnover,dd30_erp70,0.4,parallel,0.23,-2.34,1.154,0.42,-2.38,1.179,0.39,-1.15,1.128,0.39
heavy_turnover,dd30_erp70,0.5,observe,0.27,-2.51,1.245,0.47,-2.69,1.265,0.48,-1.38,1.225,0.47
heavy_turnover,dd30_erp70,0.5,confirm,0.27,-2.46,1.249,0.47,-2.68,1.266,0.5,-1.41,1.232,0.47
heavy_turnover,dd30_erp70,0.5,parallel,0.18,-1.95,1.119,0.34,-1.81,1.146,0.29,-0.9,1.092,0.29
heavy_turnover,dd30_erp70,0.6,observe,0.23,-2.1,1.208,0.41,-2.14,1.227,0.42,-1.22,1.189,0.41
heavy_turnover,dd30_erp70,0.6,confirm,0.23,-2.05,1.212,0.41,-2.13,1.227,0.45,-1.27,1.196,0.41
heavy_turnover,dd30_erp70,0.6,parallel,0.14,-1.59,1.092,0.26,-1.35,1.118,0.22,-0.7,1.065,0.22
heavy_turnover,erp_only,0.3,observe,0.44,-3.62,1.407,0.77,-5.13,1.395,0.73,-1.68,1.418,0.73
heavy_turnover,erp_only,0.3,confirm,0.44,-3.6,1.409,0.77,-5.12,1.397,0.73,-1.68,1.421,0.73
heavy_turnover,erp_only,0.3,parallel,0.33,-2.88,1.222,0.56,-3.7,1.226,0.56,-1.44,1.218,0.56
heavy_turnover,erp_only,0.4,observe,0.4,-3.32,1.339,0.7,-4.42,1.338,0.68,-1.65,1.34,0.68
heavy_turnover,erp_only,0.4,confirm,0.39,-3.29,1.341,0.7,-4.41,1.339,0.68,-1.64,1.344,0.68
heavy_turnover,erp_only,0.4,parallel,0.28,-2.56,1.175,0.48,-3.13,1.183,0.49,-1.33,1.167,0.48
heavy_turnover,erp_only,0.5,observe,0.33,-2.84,1.274,0.58,-3.54,1.279,0.58,-1.51,1.268,0.58
heavy_turnover,erp_only,0.5,confirm,0.33,-2.79,1.277,0.57,-3.53,1.281,0.59,-1.53,1.274,0.57
heavy_turnover,erp_only,0.5,parallel,0.23,-2.14,1.134,0.4,-2.42,1.147,0.4,-1.14,1.122,0.4
heavy_turnover,erp_only,0.6,observe,0.27,-2.35,1.221,0.48,-2.75,1.231,0.47,-1.33,1.212,0.47
heavy_turnover,erp_only,0.6,confirm,0.27,-2.31,1.226,0.48,-2.74,1.232,0.49,-1.37,1.219,0.48
heavy_turnover,erp_only,0.6,parallel,0.17,-1.73,1.101,0.31,-1.77,1.118,0.29,-0.86,1.084,0.29
heavy_margin,dd_only,0.3,observe,0.12,-1.6,1.3,0.23,-0.51,1.362,0.22,-0.85,1.238,0.22
heavy_margin,dd_only,0.3,confirm,0.12,-1.54,1.304,0.22,-0.48,1.363,0.23,-0.87,1.246,0.22
heavy_margin,dd_only,0.3,parallel,0.08,-1.5,1.153,0.12,-0.43,1.21,0.16,-0.61,1.096,0.12
heavy_margin,dd_only,0.4,observe,0.1,-1.46,1.264,0.19,-0.36,1.323,0.21,-0.78,1.205,0.19
heavy_margin,dd_only,0.4,confirm,0.1,-1.39,1.269,0.18,-0.33,1.324,0.23,-0.81,1.214,0.18
heavy_margin,dd_only,0.4,parallel,0.06,-1.2,1.129,0.08,-0.16,1.179,0.14,-0.53,1.079,0.08
heavy_margin,dd_only,0.5,observe,0.1,-1.4,1.226,0.17,-0.32,1.281,0.22,-0.8,1.172,0.17
